Name,Health,Damage,Attack Speed,Block Chance,Crit Chance,Dig Count,Rarity,Description
Depleted,3,1,20,30,0,5,Common,Legally distinct sponge character[Defensive
Driftwood,2,2,20,5,15,5,Common,Experienced grave diver
Dud,12,10,40,0,0,25,Common,It probably wont explode[Probably
Goliath,6,4,40,0,25,10,Common,Dont make it angry
Horseshoe,6,1,40,25,5,4,Common,Not the horse kind[Defensive
Mollusk,2,6,20,5,30,5,Common,Nothing to see here[Glass Cannon
Puffer,5,1,20,35,15,6,Common,Theyre just nervous[Defensive
Stalker,2,3,20,0,70,3,Common,You wont see it coming[Critical
Trout,3,3,20,5,15,5,Common,Tried to warn you about the hook[All Rounder
Worm,2,4,20,20,10,4,Common,"What a cool, and not scary guy![Offensive"
Angle,4,5,40,5,35,6,Rare,Theyve got an odd shape about them[Critical
Chef,2,2,15,10,5,2,Rare,Youre telling me a shrimp fried this rice?[Quick
Destitute,7,2,40,35,20,6,Rare,A barnacles best friend[Defensive
Diver,4,4,40,15,15,7,Rare,Seems like a good dude[All Rounder
Hermit,5,2,40,25,10,6,Rare,Run of the mill crustacean[Defensive
Jelly,3,6,40,5,35,5,Rare,Definitely not named after what its made of[Critical
Python,1,4,20,5,70,3,Rare,Its got a nasty bite[Glass Cannon[Critical
David,12,1,40,15,0,8,Epic,I wonder whos inside[Defensive
Dutchman,4,8,20,5,35,7,Epic,Legally distinct ghost pirate[Offensive
Moai,2,1,40,65,5,15,Epic,They a rock bro[Defensive
Shoctovel,5,5,20,20,20,6,Epic,"A reliable, eight legged diver[All Rounder"
Spliffy,4,6,20,5,60,5,Epic,He just like me for real[Critical
Glumpis,6,6,20,15,15,8,Legendary,Games[All Rounder
Pirat,1,1,5,1,5,7,Legendary,Get it[Quick
