Name,Health,Damage,Attack Speed,Block Chance,Crit Chance,Dig Count,Rarity,Description
Depleted,3,1,20,30,0,5,Common,Legally distinct sponge character[High block chance
Driftwood,2,2,20,5,15,5,Common,Experienced grave diver[High crit chance
Dud,12,10,40,0,0,25,Common,It probably wont explode[Probably
Goliath,6,4,40,0,25,10,Common,Very slow attack speed[Very high damage
Horseshoe,6,1,40,25,5,4,Common,Not the horse kind
Mollusk,2,6,20,5,30,5,Common,Nothing to see here[Very high crit chance
Puffer,5,1,20,35,15,6,Common,Hes just nervous[High block chance
Stalker,2,3,20,0,70,3,Common,You wont see it coming[High crit chance
Trout,3,3,20,5,15,5,Common,Tried to warn you about the hook[High crit chance
Worm,2,4,20,20,10,4,Common,"What a cool, and not scary guy![High crit chance[Slow attack speed"
Angle,4,5,40,5,35,6,Rare,Don't be so obtuse[Very high crit damage
Chef,3,3,20,10,5,2,Rare,Youre telling me a shrimp fried this rice?
Destitute,7,2,40,35,20,6,Rare,A barnacles best friend[High block chance
Diver,4,4,40,15,15,7,Rare,High damage[Slow attack speed
Hermit,5,2,40,25,10,6,Rare,Run of the mill crustacean
Jelly,3,6,40,5,35,5,Rare,Definitely not named after what its made of[High crit chance
Python,1,4,20,5,70,3,Rare,Very high crit chance
David,12,1,40,15,0,8,Epic,I wonder whos inside[High block chance
Dutchman,4,8,20,5,35,7,Epic,Legally distinct ghost pirate[High crit chance[High damage
Moai,2,1,40,65,5,15,Epic,He a rock bro[Very high block chance
Shoctovel,5,5,20,20,20,6,Epic,Very fast attack speed
Spliffy,4,6,20,5,60,5,Epic,He just like me for real[High crit chance
Glumpis,6,6,20,15,15,8,Legendary,Games[High crit chance
Pirat,1,1,5,1,5,7,Legendary,Get it[Fast attack speed
